,,Gross Income Based,Net Income Based,Operating Income Based,,,,,,,EBITDA Based,Expense Ratios,,,,,,
Industry Name,Number of firms,Gross Margin,Net Margin,"Pre-tax, Pre-stock compensation Operating Margin",Pre-tax Unadjusted Operating Margin,After-tax Unadjusted Operating Margin,Pre-tax Lease adjusted Margin,After-tax Lease Adjusted Margin,Pre-tax Lease & R&D adj Margin,After-tax Lease & R&D adj Margin,EBITDA/Sales,EBITDASG&A/Sales,EBITDAR&D/Sales,COGS/Sales,R&D/Sales,SG&A/ Sales,Stock-Based Compensation/Sales,Lease Expense/Sales
Retail (Building Supply),17,0.3487,0.0729,0.1144,0.1114,0.089,0.1092,0.0873,0.1092,0.0873,0.1328,0.3534,0.133,0.6513,0.0002,0.2206,0.003,0.0168
Retail (Distributors),88,0.2821,0.0563,0.0836,0.0801,0.0736,0.0836,0.0768,0.0836,0.0768,0.0828,0.2694,0.083,0.7179,0.0001,0.1865,0.0034,0.014
Retail (General),19,0.249,0.019,0.0457,0.0436,0.0389,0.0412,0.0367,0.0412,0.0367,0.065,0.2653,0.065,0.751,0,0.2004,0.002,0.0093
Retail (Grocery and Food),12,0.221,0.0285,0.0228,0.0214,0.0208,0.0192,0.0186,0.0192,0.0186,0.0421,0.2232,0.0421,0.779,0,0.1812,0.0014,0.0077
Retail (Online),79,0.4669,0.1134,0.0891,0.0654,0.0629,0.0609,0.0586,0.0606,0.0583,0.0914,0.3749,0.1052,0.5331,0.0138,0.2835,0.0236,0.0101
Retail (Special Lines),91,0.3048,0.04,0.0667,0.0635,0.0547,0.0648,0.0559,0.0649,0.0559,0.0843,0.3211,0.0851,0.6952,0.0008,0.2368,0.0032,0.0467
Rubber& Tires,4,0.2158,0.0272,0.0754,0.0743,0.0557,0.0797,0.0598,0.0802,0.0603,0.1381,0.2805,0.1633,0.7842,0.0252,0.1424,0.0011,0.02
Semiconductor,72,0.5816,0.2147,0.3245,0.2961,0.2659,0.2963,0.2661,0.3071,0.2769,0.3719,0.4647,0.5427,0.4184,0.1707,0.0927,0.0284,0.0057
Semiconductor Equip,41,0.4422,0.1561,0.255,0.2399,0.2068,0.2415,0.2082,0.249,0.2158,0.2803,0.3749,0.3841,0.5578,0.1039,0.0946,0.0151,0.0051
Shipbuilding & Marine,9,0.238,0.0869,0.0834,0.0753,0.0753,0.0852,0.0852,0.0852,0.0852,0.1209,0.2211,0.1209,0.762,0,0.1002,0.0081,0.0499
Shoe,10,0.4445,0.0559,0.1238,0.1173,0.0955,0.1154,0.094,0.1155,0.0941,0.1293,0.4543,0.1304,0.5555,0.0011,0.325,0.0065,0.026
Software (Entertainment),92,0.6591,0.1891,0.35,0.2762,0.2666,0.2728,0.2633,0.2945,0.285,0.2848,0.5037,0.4443,0.3409,0.1595,0.2189,0.0738,0.0092
Software (Internet),44,0.6327,0.0188,0.1722,0.1122,0.1112,0.1126,0.1116,0.1304,0.1294,0.18,0.537,0.3062,0.3673,0.1262,0.357,0.06,0.0236
Software (System & Application),355,0.7067,0.1045,0.2727,0.2128,0.203,0.2135,0.2036,0.229,0.2191,0.2698,0.5875,0.439,0.2933,0.1691,0.3177,0.0599,0.015
Steel,37,0.1722,0.0732,0.0921,0.0885,0.0848,0.0897,0.086,0.0898,0.086,0.0951,0.1618,0.0959,0.8278,0.0008,0.0668,0.0036,0.005
Telecom (Wireless),21,0.5745,0.1488,0.11,0.1019,0.0995,0.1041,0.1016,0.1041,0.1016,0.2788,0.5591,0.2808,0.4255,0.0019,0.2803,0.008,0.0728
Telecom. Equipment,98,0.5403,0.0211,0.2074,0.1741,0.1633,0.1762,0.1652,0.1829,0.172,0.2231,0.4443,0.3525,0.4597,0.1294,0.2212,0.0333,0.0099
Telecom. Services,67,0.5537,0.1876,0.1895,0.1854,0.1785,0.1839,0.1771,0.1838,0.177,0.3104,0.5195,0.3154,0.4463,0.0051,0.2092,0.0041,0.0287
Tobacco,17,0.5897,0.3142,0.4037,0.3997,0.3706,0.4007,0.3715,0.4013,0.3721,0.4147,0.6028,0.4274,0.4103,0.0127,0.1881,0.0041,0.0078
Transportation,19,0.2138,0.0674,0.0899,0.0843,0.0798,0.0839,0.0794,0.0839,0.0794,0.1145,0.1346,0.1147,0.7862,0.0002,0.0201,0.0057,0.0263
Transportation (Railroads),10,0.4905,0.5093,0.3706,0.3664,0.3664,0.3654,0.3654,0.3654,0.3654,0.4336,0.4347,0.4336,0.5095,0,0.0011,0.0042,0.0263
Trucking,28,0.2074,0.0782,0.076,0.0731,0.0722,0.0822,0.0812,0.0822,0.0812,0.1122,0.1839,0.1122,0.7926,0,0.0717,0.0029,0.0432
Utility (General),18,0.3631,0.1149,0.1765,0.1723,0.1471,0.1716,0.1464,0.1716,0.1464,0.3006,0.3023,0.3008,0.6369,0.0002,0.0017,0.0042,0.0041
Utility (Water),19,0.5704,0.1506,0.3136,0.3082,0.279,0.3073,0.2782,0.3073,0.2781,0.4598,0.5082,0.4603,0.4296,0.0005,0.0484,0.0054,0.0057
Total Market ,7209,0.3686,0.0889,0.1232,0.1131,0.1032,0.1127,0.1029,0.1146,0.1047,0.1525,0.3132,0.1778,0.6314,0.0252,0.1607,0.0101,0.0139
Total Market (without financials),6004,0.3337,0.0801,0.1279,0.1185,0.1111,0.1181,0.1107,0.1201,0.1128,0.1618,0.305,0.1898,0.6663,0.028,0.1432,0.0095,0.0136
